DATE,Open,High,Low,Close,Volume
05/06/2023,29538.86,29820.13,28468.97,28904.62,15913866714.47
05/07/2023,28901.62,29157.52,28441.37,28454.98,11301355486.45
05/08/2023,28450.46,28663.27,27310.14,27694.27,19122903752.39
05/09/2023,27695.07,27821.4,27375.6,27658.77,14128593255.78
05/10/2023,27654.64,28322.69,26883.67,27621.76,20656025025.55
05/11/2023,27621.09,27621.94,26781.83,27000.79,16724343943.18
05/12/2023,26987.66,27055.65,25878.43,26804.99,19313599897.31
05/13/2023,26807.77,27030.48,26710.87,26784.08,9999171605.08
05/14/2023,26788.97,27150.98,26661.35,26930.64,10014858959.48
05/15/2023,26931.38,27646.35,26766.1,27192.69,14413231792.03
05/16/2023,27171.51,27299.3,26878.95,27036.65,12732238815.90
05/17/2023,27035.47,27465.93,26600.14,27398.8,15140006925.18
05/18/2023,27401.65,27466.53,26415.1,26832.21,15222938600.41
05/19/2023,26826.75,27128.62,26700.21,26890.13,11258983300.89
05/20/2023,26888.84,27155.16,26843.28,27129.59,7044911360.48
05/21/2023,27118.42,27265.92,26706.92,26753.83,8647416920.95
05/22/2023,26749.89,27045.74,26549.73,26851.28,11056770492.11
05/23/2023,26855.96,27434.68,26816.18,27225.73,13697203142.64
05/24/2023,27224.6,27224.6,26106.58,26334.82,16299104428.23
05/25/2023,26329.46,26591.52,25890.59,26476.21,13851122696.86
05/26/2023,26474.18,26916.67,26343.95,26719.29,12711619225.45
05/27/2023,26720.18,26888.88,26621.14,26868.35,7892015141.24
05/28/2023,26871.16,28193.45,26802.75,28085.65,14545229578.02
05/29/2023,28075.59,28432.04,27563.88,27745.88,15181308983.60
05/30/2023,27745.12,28044.76,27588.5,27702.35,13251081851.39
05/31/2023,27700.53,27831.68,26866.45,27219.66,15656371534.37
06/01/2023,27218.41,27346.11,26671.72,26819.97,14678970414.58
06/02/2023,26824.56,27303.86,26574.64,27249.59,14837414999.85
06/03/2023,27252.32,27317.05,26958.,27075.13,8385597470.09
06/04/2023,27075.12,27407.02,26968.22,27119.07,9360912318.14
06/05/2023,27123.11,27129.98,25445.17,25760.1,21513292646.48
06/06/2023,25732.11,27313.82,25434.87,27238.78,21929670692.82
06/07/2023,27235.65,27332.18,26146.99,26346.,19530045081.91
06/08/2023,26347.65,26797.51,26246.66,26508.22,11904824295.26
06/09/2023,26505.92,26770.29,26339.32,26480.38,11015551640.28
06/10/2023,26481.76,26531.05,25501.84,25851.24,19872933188.93
06/11/2023,25854.03,26203.44,25668.99,25940.17,10732609602.85
06/12/2023,25934.29,26087.92,25675.2,25902.5,11677889997.40
06/13/2023,25902.94,26376.35,25728.37,25918.73,14143474486.27
06/14/2023,25920.26,26041.8,24902.15,25124.68,14265717765.80
06/15/2023,25121.67,25735.31,24797.17,25576.39,15837384409.10
06/16/2023,25575.28,26463.17,25245.36,26327.46,16324646965.41
06/17/2023,26328.68,26769.39,26174.49,26510.68,11090276850.25
06/18/2023,26510.46,26675.93,26325.89,26336.21,9565695128.64
06/19/2023,26335.44,26984.61,26312.83,26851.03,12826986222.15
06/20/2023,26841.66,28388.97,26668.79,28327.49,22211859146.73
06/21/2023,28311.31,30737.33,28283.41,30027.3,33346760979.13
06/22/2023,29995.94,30496.,29679.16,29912.28,20653160490.91
